date_added,developer,disks,genre,hardware,language,players,review,thumbnail,titel,year
"Aug 19, 2004",Lucasfilm Games,4,Adventure - Point and Click,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/secret_of_monkey_island_01.png,"Secret of Monkey Island, The",1991
"May 8, 2004",,1,Sports - Football/Soccer,"OCS,ECS","English,German,French,Italian","1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/i_play_-_3d_soccer_01.png,I Play: 3D Soccer,1991
"May 8, 2004",,1,Sports - Boxing,"OCS,ECS","English,German,French,Italian","1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/3d_world_boxing_01.png,3D World Boxing,1992
"May 8, 2004",Cirrus Software,1,Sports - Football/Soccer,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/1st_division_manager_01.png,1st Division Manager,1991
"May 8, 2004",PZK Co. Development Group,1,Arcade - Tetris,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/block_out_01.png,Block Out,1989
"May 8, 2004",,2,Adventure - Miscellaneous,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/third_courier_01.png,"Third Courier, The",1990
"May 8, 2004",,1,Racing - Cars,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/4x4_off-road_racing_01.png,4x4 Off-Road Racing,1988
"May 8, 2004",,1,Brain - Miscellaneous,OCS,English,1 to 10,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/spot_01.png,Spot,1990
"May 8, 2004",Sculptured Software,1,Sports - American Football,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/4th_and_inches_01.png,4th & Inches,1988
"May 8, 2004",Distinctive Software Inc.,2,Racing - Cars,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/4d_sports_driving_01.png,4D Sports Driving,1990
"May 8, 2004",Distinctive Software Inc.,2,Sports - Boxing,"OCS,ECS",English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/4d_sports_boxing_01.png,4D Sports Boxing,1991
"May 8, 2004",Microwish Software,1,Racing - Miscellaneous,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/5th_gear_01.png,5th Gear,1990
"May 8, 2004",Frames,1,Platformer - Scrolling Screen,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/9_lives_01.png,9 Lives,1990
"May 8, 2004",,1,Simulation - Marine,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/688_sub_attack_01.png,688 Attack Sub,1990
"May 8, 2004",,1,Racing - Cars,OCS,"English,Italian",1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/1000_miglia_01.png,1000 Miglia: 1927-1933 Volume 1,1991
"May 8, 2004",Probe Software,1,Shoot'em Up - V-Scrolling,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/1943_-_the_battle_of_midway_01.png,1943: The Battle of Midway,1989
"May 9, 2004",Dynamix,2,Simulation - Flight,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/a-10_tank_killer_01.png,A-10 Tank Killer,1991
"May 8, 2004",,1,Strategy - Miscellaneous,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/3001_-_o_connors_fight_01.png,3001: O'Connors Fight,1990
"May 9, 2004",,1,Platformer - Single Screen,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/prehistoric_tale_01.png,"Prehistoric Tale, A",1990
"May 9, 2004",ArtGame,5,Adventure - RPG 3D,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/abandoned_places_01.png,Abandoned Places: A Time for Heroes,1992
"May 9, 2004",Sculptured Software,1,Arcade - Miscellaneous,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/aaargh_01.png,Aaargh!,1988
"May 9, 2004",ArtGame,5,Adventure - RPG 3D,OCS,"English,German",1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/abandoned_places_2_01.png,Abandoned Places 2,1993
"May 9, 2004",,1,Simulation - Flight,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/a320_airbus_01.png,A320 Airbus,1991
"May 9, 2004",Acme Interactive,2,Sports - Boxing,"OCS,ECS",English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/abc_wide_world_of_sports_boxing_01.png,ABC Wide World of Sports Boxing,1991
"May 9, 2004",Core Design,1,Shoot'em Up - V-Scrolling,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/action_fighter_01.png,Action Fighter,1988
"May 10, 2004",The Highlanders,1,Sports - Skiing,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/advanced_ski_simulator_01.png,Advanced Ski Simulator,1990
"May 10, 2004",,1,Sports - Tennis,"OCS,ECS","English,German,French",,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/advantage_tennis_01.png,Advantage Tennis,1991
"May 10, 2004",,1,Platformer - Multi Screen,"OCS,ECS","English,German,French",1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/addams_family_01.png,"Addams Family, The",1992
"May 10, 2004",,1,Platformer - Scrolling Screen,"OCS,ECS",French,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/aventures_de_moktar_01.png,"Aventures de Moktar, Les",1991
"May 10, 2004",,1,Platformer - Scrolling Screen,"OCS,ECS",English,1 or 2,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/adventures_of_quik_and_silva_01.png,"Adventures of Quik & Silva, The",1991
"May 13, 2004",,1,Adventure - Isometric 3D,"OCS,ECS","English,German,French,Italian",1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/adventures_of_robin_hood_01.png,"Adventures of Robin Hood, The",1991
"May 13, 2004",Dynamix,12,Adventure - Point and Click,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/adventures_of_willy_beamish_01.png,"Adventures of Willy Beamish, The",1992
"May 13, 2004","Argonaut Software,Software Studios",1,Shoot'em Up - 3D,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/afterburner_01.png,Afterburner,1988
"May 13, 2004",Art and Magic,3,Shoot'em Up - H-Scrolling,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/agony_01.png,Agony,1992
"May 13, 2004",Imagitec Design,1,Shoot'em Up - Miscellaneous,OCS,English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/airborne_ranger_01.png,Airborne Ranger,1989
"May 13, 2004",,2,Simulation - Space,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/air_support_01.png,Air Support,1992
"May 13, 2004",221b Software Developments,2,Shoot'em Up - Platformer,OCS,English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/alcatraz_01.png,Alcatraz,1992
"May 13, 2004",Golden Sector Design,2,Strategy - Miscellaneous,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/airforce_commander_01.png,AirForce Commander,1992
"May 13, 2004",,2,Strategy - Miscellaneous,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/air_bucks_01.png,Air Bucks,1992
"May 14, 2004",,3,Shoot'em Up - Multi-Scrolling,"OCS,ECS",English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/alien_breed_01.png,Alien Breed,1991
"May 14, 2004","Eden Entertainment Software,Probe Software",2,Shoot'em Up - H-Scrolling,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/alien_3_01.png,Alien³,1992
"May 14, 2004",,3,Shoot'em Up - Multi-Scrolling,"ECS,AGA",English,"1 or 2, Simultaneous",Keine Infos,http://www.lemonamiga.com/games/screenshots/full/alien_breed_-_tower_assault_01.png,Alien Breed: Tower Assault,1994
"May 13, 2004",,3,Platformer - Scrolling Screen,"OCS,ECS",English,1 Only,Keine Infos,http://www.lemonamiga.com/games/screenshots/full/akira_01.png,Akira,1994
